Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
1550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1850,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1860,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1870,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1880,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1890,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1900,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1910,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1920,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1930,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1940,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1950,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1960,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1970,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1980,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1990,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2000,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2010,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2020,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2030,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2360,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2370,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2380,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2390,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2400,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2410,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2420,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2430,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2440,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2450,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2460,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2470,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2480,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2490,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2500,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2510,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2520,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2530,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2540,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2850,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2860,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2870,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2880,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
